,ny_counties,tier
1,Albany,Capital
2,Allegany,Western
3,Bronx,NYC
4,Broome,Southern
5,Cattaraugus,Western
6,Cayuga,Central
7,Chautauqua,Western
8,Chemung,Southern
9,Chenango,Southern
10,Clinton,Northern
11,Columbia,Capital
12,Cortland,Central
13,Delaware,Southern
14,Dutchess,Hudson Valley
15,Erie,Western
16,Essex,Northern
17,Franklin,Northern
18,Fulton,Mowhawk Valley
19,Genesee,Finger Lakes
20,Greene,Capital
21,Hamilton,Northern
22,Herkimer,Mowhawk Valley
23,Jefferson,Northern
24,Kings,NYC
25,Lewis,Northern
26,Livingston,Finger Lakes
27,Madison,Central
28,Monroe,Finger Lakes
29,Montgomery,Mowhawk Valley
30,Nassau,Long Island
31,New York,NYC
32,Niagara,Western
33,Oneida,Mowhawk Valley
34,Onondaga,Central
35,Ontario,Finger Lakes
36,Orange,Hudson Valley
37,Orleans,Finger Lakes
38,Oswego,Central
39,Otsego,Mowhawk Valley
40,Putnam,Hudson Valley
41,Queens,NYC
42,Rensselaer,Capital
43,Richmond,NYC
44,Rockland,Hudson Valley
45,Saratoga,Capital
46,Schenectady,Capital
47,Schoharie,Mowhawk Valley
48,Schuyler,Southern
49,Seneca,Finger Lakes
50,Steuben,Southern
51,Suffolk,Long Island
52,Sullivan,Hudson Valley
53,Tioga,Southern
54,Tompkins,Southern
55,Ulster,Hudson Valley
56,Warren,Capital
57,Washington,Capital
58,Wayne,Finger Lakes
59,Westchester,Hudson Valley
60,Wyoming,Finger Lakes
61,Yates,Finger Lakes
